City,Customer Name,Customer Segment,Grouping Based on Unit Price,Order Date,Order ID,Order Priority,Product Category,Product Container,Product Name,Product Sub-Category,Region,Row ID,Ship Date,Ship Mode,State,Zip Code,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Sanford,Frank Gastineau,Small Business,A,3/19/2012,324,Critical,Technology,Medium Box,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Telephones and Communication,South,56,3/21/2012,Regular Air,North Carolina,27237,0.02,25,0.57,667.332,3872.634,13.99,179.99
Sanford,Craig Yedwab,Corporate,A,10/16/2010,325,Low,Technology,Small Box,282,Telephones and Communication,East,57,10/20/2010,Regular Air,Maine,04073,0.06,9,0.56,-178.706,884.1275,4.23,115.99
Columbia,Michelle Tran,Consumer,A,6/3/2011,326,High,Office Supplies,Small Box,"DXL™ Angle-View Binders with Locking Rings, Black",Binders and Binder Accessories,East,58,6/4/2011,Regular Air,Maryland,21044,0.03,34,0.38,-44.137,218.27,4.92,5.99
Crofton,Michelle Tran,Consumer,A,6/3/2011,326,High,Office Supplies,Wrap Bag,"Advantus Push Pins, Aluminum Head",Rubber Bands,East,59,6/4/2011,Regular Air,Maryland,21114,0.05,17,0.54,-21.3,100.95,3.37,5.81
Redwood City,Dean Percer,Home Office,A,12/30/2010,353,Low,Office Supplies,Wrap Bag,"Quartet Alpha® White Chalk, 12/Pack",Pens & Art Supplies,West,60,4/1/2011,Regular Air,California,94061,0.02,21,0.38,3.88,46.94,1,2.21
College Station,Henry MacAllister,Small Business,A,6/13/2009,355,Low,Technology,Wrap Bag,Accessory4,Telephones and Communication,Central,61,6/18/2009,Regular Air,Texas,77840,0,16,0.85,-172.546,1239.6315,0.99,85.99
Lewiston,Ricardo Block,Corporate,A,9/19/2010,358,High,Furniture,Jumbo Box,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Bookcases,West,62,9/21/2010,Delivery Truck,Idaho,83501,0.02,33,0.69,-1348.06,1640.9,54.11,48.58
Lewiston,Ricardo Block,Corporate,A,9/19/2010,358,High,Technology,Small Pack,"80 Minute CD-R Spindle, 100/Pack - Staples",Computer Peripherals,West,63,9/19/2010,Regular Air,Idaho,83501,0.07,33,0.54,269.27,1235.87,1.99,39.48
Pleasant Grove,Cari Sayre,Corporate,A,12/18/2009,359,Medium,Furniture,Jumbo Box,Bevis 36 x 72 Conference Tables,Tables,West,64,12/19/2009,Delivery Truck,Utah,84062,0.08,30,0.63,-500.38,3659.66,51.94,124.49
Bend,Sonia Cooley,Corporate,A,3/2/2012,384,Low,Furniture,Jumbo Box,BPI Conference Tables,Tables,West,65,3/9/2012,Delivery Truck,Oregon,97701,0.02,50,0.71,-1820.84,7666.04,80.2,146.05
Mount Vernon,Tracy Poddar,Corporate,A,1/24/2011,386,High,Office Supplies,Small Box,Avery 501,Labels,East,66,1/26/2011,Regular Air,Ohio,43050,0.02,4,0.38,-0.030000000,14.96,0.5,3.69
Mount Vernon,Tracy Poddar,Corporate,A,1/24/2011,386,High,Office Supplies,Wrap Bag,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Pens & Art Supplies,East,67,1/26/2011,Regular Air,Ohio,43050,0.09,4,0.44,-1.59,15.69,0.7,3.85
Bartlesville,Jennifer Halladay,Home Office,A,12/15/2012,388,Not Specified,Office Supplies,Medium Box,Harmony HEPA Quiet Air Purifiers,Appliances,Central,68,12/18/2012,Regular Air,Oklahoma,74006,0.06,46,0.5,-94.73,517.93,6.96,11.7
Grove City,Stuart Calhoun,Consumer,A,9/26/2010,416,Low,Technology,Small Box,5190,Telephones and Communication,East,69,10/1/2010,Express Air,Ohio,43123,0.01,20,0.59,88.524,1156.6715,7.69,65.99
East Los Angeles,Robert Barroso,Small Business,A,2/5/2009,417,Medium,Technology,Jumbo Drum,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Office Machines,West,70,2/6/2009,Delivery Truck,California,90022,0.07,39,0.38,8734.88,15260.78,28.14,500.98
East Los Angeles,Robert Barroso,Small Business,A,2/5/2009,417,Medium,Office Supplies,Small Box,"Hot File® 7-Pocket, Floor Stand",Storage & Organization,West,71,2/7/2009,Regular Air,California,90022,0.1,3,0.55,-170.98,540.41,19.99,178.47
Marysville,Tony Sayre,Small Business,A,10/30/2011,420,Not Specified,Office Supplies,Small Box,Xerox 190,Paper,West,72,10/30/2011,Regular Air,Washington,98270,0.09,8,0.38,-20.69,43.29,4.86,4.98
Marysville,Tony Sayre,Small Business,A,10/30/2011,420,Not Specified,Office Supplies,Small Box,Xerox 1950,Paper,West,73,11/1/2011,Regular Air,Washington,98270,0.03,6,0.36,-14.56,41.7,5.37,5.78
Long Beach,Brad Thomas,Corporate,A,8/20/2011,448,Medium,Technology,Small Box,iDENi80s,Telephones and Communication,West,74,8/22/2011,Regular Air,California,90805,0.09,22,0.59,-284.625,1162.4005,19.99,65.99
San Marcos,Candace McMahon,Corporate,A,7/19/2011,449,High,Furniture,Small Box,"Eldon® Expressions™ Wood Desk Accessories, Oak",Office Furnishings,Central,75,7/21/2011,Regular Air,Texas,78666,0.02,45,0.56,-48.97,356.7,5.21,7.38
Fort Dodge,Matt Collins,Consumer,A,3/4/2011,450,Not Specified,Office Supplies,Small Pack,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Pens & Art Supplies,Central,76,3/5/2011,Express Air,Iowa,50501,0.05,29,0.56,109.33,1000.78,8.99,34.58
Fort Dodge,Matt Collins,Consumer,A,3/4/2011,450,Not Specified,Office Supplies,Small Box,Hanging Personal Folder File,Storage & Organization,Central,77,3/6/2011,Regular Air,Iowa,50501,0.05,35,0.6,-211.13,543.72,11.25,15.7
Altoona,Darrin Martin,Small Business,A,12/26/2011,454,Low,Office Supplies,Wrap Bag,Staples Bulk Pack Metal Binder Clips,Rubber Bands,East,78,12/28/2011,Regular Air,Pennsylvania,16602,0.09,42,0.35,56.22,234.2,1.82,6.08
Highlands Ranch,Art Foster,Home Office,A,10/7/2012,481,High,Technology,Small Box,636,Telephones and Communication,West,79,10/9/2012,Regular Air,Colorado,80126,0.01,44,0.57,1426.257,4509.3775,5.26,115.99
Rock Island,Clay Rozendal,Corporate,A,7/10/2011,483,High,Technology,Small Box,R380,Telephones and Communication,Central,80,7/12/2011,Regular Air,Illinois,61201,0.08,30,0.58,1198.971,4965.7595,3.99,195.99
Orlando,Valerie Dominguez,Corporate,A,8/17/2012,487,Critical,Office Supplies,Small Box,Belkin 6 Outlet Metallic Surge Strip,Appliances,South,81,8/18/2012,Regular Air,Florida,32839,0.07,19,0.59,-18.96,210.4,4.5,10.89
East Point,Sam Craven,Home Office,A,5/19/2011,512,Low,Furniture,Large Box,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,South,82,5/19/2011,Regular Air,Georgia,30344,0.06,6,0.57,19.180000000,1309.53,18.06,218.08
East Point,Sam Craven,Home Office,A,5/19/2011,512,Low,Office Supplies,Small Box,"Decoflex Hanging Personal Folder File, Blue",Storage & Organization,South,83,5/21/2011,Express Air,Georgia,30344,0.01,48,0.58,-166.4,806.37,10.68,15.42
Cleveland,Arthur Prichep,Home Office,A,4/30/2011,513,High,Furniture,Jumbo Drum,"Global Leather & Oak Executive Chair, Burgundy",Chairs & Chairmats,East,84,4/30/2011,Delivery Truck,Ohio,44105,0,33,0.77,-684.57,5437.92,60.2,150.89
Wheeling,Carlos Soltero,Consumer,A,8/28/2010,515,Not Specified,Office Supplies,Medium Box,Holmes HEPA Air Purifier,Appliances,Central,85,8/30/2010,Regular Air,Illinois,60090,0.08,19,0.5,30.94,394.27,5.94,21.78
Wilmette,Carlos Soltero,Consumer,A,8/28/2010,515,Not Specified,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,Central,86,8/30/2010,Regular Air,Illinois,60091,0.05,21,0.37,4.43,146.69,4.95,6.64
Murray,Sung Chung,Home Office,A,9/20/2009,548,Critical,Office Supplies,Small Box,Avery 481,Labels,South,87,9/21/2009,Regular Air,Kentucky,42071,0.04,41,0.37,36.02,129.49,0.99,3.08
Murray,Sung Chung,Home Office,A,9/20/2009,548,Critical,Office Supplies,Small Box,Xerox 1976,Paper,South,88,9/21/2009,Regular Air,Kentucky,42071,0.02,29,0.37,-50.64,202.95,5.9,6.48
Murray,Sung Chung,Home Office,A,9/20/2009,548,Critical,Technology,Small Box,V3682,Telephones and Communication,South,89,9/22/2009,Regular Air,Kentucky,42071,0.04,26,0.59,510.489,2753.1925,4.2,125.99
Monroeville,Ken Brennan,Consumer,A,7/12/2012,549,Critical,Office Supplies,Small Box,Xerox 1922,Paper,East,90,7/13/2012,Regular Air,Pennsylvania,15146,0.03,13,0.36,-59.75,70.24,7.44,4.98
Monroeville,Ken Brennan,Consumer,A,7/12/2012,549,Critical,Office Supplies,Small Box,Xerox 1984,Paper,East,91,7/13/2012,Regular Air,Pennsylvania,15146,0.05,5,0.36,-27.57,40.75,8.74,6.48
Monroeville,Ken Brennan,Consumer,A,7/12/2012,549,Critical,Office Supplies,Large Box,"Eldon Base for stackable storage shelf, platinum",Storage & Organization,East,92,7/12/2012,Express Air,Pennsylvania,15146,0.05,30,0.8,-911.56,1150.88,35,38.94
Fayetteville,Joe Elijah,Home Office,A,8/1/2011,610,Critical,Office Supplies,Small Box,Xerox 195,Paper,South,93,8/3/2011,Express Air,Arkansas,72701,0.02,38,0.37,-29.21,283.65,5.41,6.68
Cleveland,Arthur Prichep,Home Office,A,1/26/2010,611,Critical,Office Supplies,Small Box,Portfile® Personal File Boxes,Storage & Organization,East,94,1/28/2010,Regular Air,Ohio,44105,0.04,47,0.59,-131.27,840.04,9.47,17.7
Van Buren,Sheri Gordon,Corporate,A,10/20/2012,612,Medium,Office Supplies,Small Box,Xerox 1928,Paper,South,95,10/22/2012,Regular Air,Arkansas,72956,0.1,50,0.4,-166.29,262.87,6.26,5.28
Van Buren,Sheri Gordon,Corporate,A,10/20/2012,612,Medium,Technology,Small Box,6190,Telephones and Communication,South,96,10/22/2012,Regular Air,Arkansas,72956,0.01,43,0.55,881.676,2531.0875,2.5,65.99
Waukegan,Carl Jackson,Corporate,A,6/17/2011,613,High,Office Supplies,Small Box,"Angle-D Binders with Locking Rings, Label Holders",Binders and Binder Accessories,Central,97,6/17/2011,Regular Air,Illinois,60087,0.03,12,0.38,-54.0385,93.54,7.72,7.3
Waukegan,Carl Jackson,Corporate,A,6/17/2011,613,High,Office Supplies,Small Box,"SAFCO Mobile Desk Side File, Wire Frame",Storage & Organization,Central,98,6/18/2011,Regular Air,Illinois,60087,0.09,22,,127.7,905.08,6.22,42.76
Camp Springs,Dave Hallsten,Corporate,A,11/30/2012,614,High,Furniture,Small Pack,Nu-Dell Leatherette Frames,Office Furnishings,East,99,12/2/2012,Regular Air,Maryland,20746,0,41,0.49,163.81,628.22,5,14.34
Camp Springs,Dave Hallsten,Corporate,A,11/30/2012,614,High,Furniture,Jumbo Box,Balt Split Level Computer Training Table,Tables,East,100,12/1/2012,Delivery Truck,Maryland,20746,0.07,24,0.74,-335.317125,3366.1,52.42,138.75
Pasadena,Tamara Chand,Consumer,A,1/22/2010,640,High,Furniture,Jumbo Box,O'Sullivan Living Dimensions 2-Shelf Bookcases,Bookcases,Central,101,1/23/2010,Delivery Truck,Texas,77506,0.02,39,0.75,-1153.9,4913.69,58.64,120.98
Pasadena,Tamara Chand,Consumer,A,1/22/2010,640,High,Office Supplies,Small Box,Xerox 1939,Paper,Central,102,1/23/2010,Regular Air,Texas,77506,0.01,24,0.37,29.42,464.77,9.54,18.97
Gurnee,Monica Federle,Corporate,A,3/24/2011,643,High,Office Supplies,Large Box,"SAFCO Commercial Wire Shelving, Black",Storage & Organization,Central,103,3/25/2011,Express Air,Illinois,60031,0.07,21,,-695.26,2781.82,35,138.14
Auburn,Bill Eplett,Corporate,A,4/30/2012,644,Critical,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Chairs & Chairmats,East,104,5/1/2012,Delivery Truck,New York,13021,0.01,5,0.57,-171.92,1679.58,58.95,320.98
Lafayette,Harold Engle,Consumer,A,12/2/2009,645,High,Office Supplies,Small Box,GBC Binding covers,Binders and Binder Accessories,Central,105,12/4/2009,Regular Air,Indiana,47905,0.05,42,0.4,89.4455,557.85,4.98,12.95
Lake Jackson,Duane Huffman,Small Business,A,11/21/2009,646,High,Office Supplies,Small Pack,Acme® Forged Steel Scissors with Black Enamel Handles,"Scissors, Rulers and Trimmers",Central,106,11/22/2009,Regular Air,Texas,77566,0.01,18,0.56,-10.9,173.2,3.98,9.31
Rockford,Dorothy Badders,Home Office,A,2/26/2010,678,Low,Office Supplies,Small Box,Xerox 198,Paper,Central,107,2/26/2010,Regular Air,Illinois,61107,0.07,44,0.38,-226.36,228.41,8.33,4.98
Maplewood,Sarah Jordon,Consumer,A,9/8/2011,706,Critical,Office Supplies,Wrap Bag,Newell 326,Pens & Art Supplies,Central,108,9/10/2011,Regular Air,Minnesota,55119,0.05,42,0.56,0.82,75.14,0.7,1.76
Ocoee,Susan MacKendrick,Corporate,A,1/1/2010,710,Low,Office Supplies,Small Box,Avery Poly Binder Pockets,Binders and Binder Accessories,South,109,1/5/2010,Regular Air,Florida,34761,0.01,42,0.37,-150.374,161.77,5.47,3.58
Ocoee,Susan MacKendrick,Corporate,A,1/1/2010,710,Low,Furniture,Medium Box,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Office Furnishings,South,110,1/3/2010,Regular Air,Florida,34761,0.09,11,0.76,89.03,447.09,8.66,41.32
Ocoee,Susan MacKendrick,Corporate,A,1/1/2010,710,Low,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,South,111,1/5/2010,Delivery Truck,Florida,34761,0.02,29,0.56,731.32,4192.88,17.85,145.45
